SST,pCO2
19.677,360.606
19.665,361.73
19.661,361.757
19.669,360.842
19.682,360.672
19.724,362.4
19.749,363.242
19.747,364.623
19.704,364.422
19.686,363.219
19.653,362.168
19.642,360.213
19.612,361.645
19.585,362.853
18.99,363.286
18.973,363.06
18.953,362.988
18.884,363.017
18.908,364.822
18.966,365.865
18.964,364.029
18.863,363.828
18.81,364.457
18.835,364.4
18.848,364.038
18.856,363.045
18.881,361.716
18.983,362.206
19.054,363.522
19.086,364.636
19.183,366.552
19.253,368.416
19.29,366.931
19.476,366.663
19.499,368.103
19.593,368.672
19.653,368.675
19.677,368.322
19.685,370.362
19.683,372.868
19.697,372.69
19.699,372.296
19.675,371.207
19.669,369.703
19.668,368.464
19.706,368.19
19.697,367.909
19.687,367.663
19.712,368.669
19.797,368.839
19.871,371.291
19.986,372.769
20.54,367.939
20.561,370.072
20.538,370.678
20.502,372.986
20.464,370.64
20.521,369.6
20.533,371.462
20.574,371.979
20.571,369.84
20.563,369.926
20.547,368.649
20.534,366.397
20.522,368.79
20.527,370.618
20.517,372.047
20.55,373.542
20.557,372.464
20.605,370.974
20.633,369.336
20.252,373.018
20.239,374.079
20.21,373.077
20.187,373.343
20.127,374.837
20.102,375.088
20.113,374.458
20.143,373.195
20.156,374.35
20.158,375.363
20.157,376.024
20.157,373.736
20.149,372.181
20.14,370.773
20.104,368.981
20.117,368.841
20.136,370.573
20.15,371.032
20.165,371.836
20.216,369.845
20.282,370.552
20.225,372.099
20.223,374.389
20.232,370.533
20.217,373.177
20.228,373.17
20.223,369.942
20.24,369.521
20.27,369.045
20.252,372.074
20.258,371.286
20.277,370.909
20.274,371.057
20.269,373.477
20.288,372.988
20.297,371.34
20.3,373.355
20.308,371.851
20.319,373.933
20.33,372.27
20.344,369.874
20.356,369.421
20.37,369.783
20.365,374.327
20.345,373.359
20.332,372.903
20.321,372.838
20.356,373.138
20.324,371.718
20.325,371.102
20.293,370.9
20.302,371.193
20.29,372.95
20.264,374.416
20.246,375.029
20.225,374.332
20.215,371.779
20.11,375.04
20.081,372.675
20.093,372.739
20.079,372.365
20.071,372.726
20.069,370.983
20.077,370.997
20.06,369.348
20.048,370.316
20.056,370.24
20.042,372.967
20.074,374.791
20.044,373.703
20.032,376.005
20.061,372.682
20.019,373.049
20.043,373.778
20.037,371.592
20.035,370.769
19.39,376.14
19.245,375.748
19.087,377.105
19.093,372.5
19.1,374.694
19.23,374.811
19.23,375.446
19.018,376.647
19.119,377.172
19.127,372.777
19.181,371.675
19.242,375.776
19.25,375.026
19.25,374.692
19.272,376.073
19.294,375.013
19.32,374.867
19.349,372.223
19.381,371.012
19.782,370.172
19.832,369.003
19.872,370.36
19.895,373.265
19.895,372.839
19.88,371.152
19.907,372.837
19.887,370.959
19.915,371.925
19.922,370.444
19.884,372.107
19.878,374.644
19.866,370.191
19.854,372.451
19.854,373.55
19.847,368.678
19.864,369.696
19.857,370.489
19.845,370.279
19.72,374.128
19.725,376.282
19.724,375.987
19.752,374.132
19.754,372.411
19.719,374.637
19.729,374.292
19.725,374.532
19.743,374.88
19.735,373.785
19.75,372.027
19.76,370.139
19.731,369.705
19.735,372.496
19.739,373.669
19.734,371.515
19.726,373.17
19.725,372.807
19.726,371.789
19.662,370.847
19.658,372.986
19.649,371.365
19.658,368.363
19.656,373.548
19.649,374.038
19.703,375.857
19.654,374.339
19.706,371.765
19.667,367.592
19.679,369.877
19.678,368.874
19.677,369.768
19.709,371.326
19.759,371.119
19.807,370.586
19.898,370.013
19.962,368.126
19.913,368.16
20.149,371.686
20.094,372.371
20.144,372.729
20.075,372.403
19.996,374.463
19.941,376.089
19.922,373.461
19.927,373.224
19.922,371.226
19.911,373.817
19.91,373.722
19.908,372.26
19.94,369.494
20.001,368.588
20.03,369.549
20.059,369.945
20.083,370.636
20.107,371.41
20.152,374.106
20.308,373.295
20.335,372.553
20.346,372.118
20.356,372.194
20.345,375.579
20.342,373.116
20.377,371.504
20.384,374.153
20.362,375.627
20.351,376.089
20.351,373.758
20.408,374.497
